aba	kapa
Na nossa terra, as pessoas produzem muito na agricultura.	Na no tera, djintis ta pruduzi tchiu na agrikultura.
Na África, produzem roupas.	Na Afrika, e ta kumpu ropas.
Os profetas contam a profecia.	Profeta ta konta profesia.
Ele é um bom professor.	El i bon pursor.
A mulher dele é professora do meu filho.	Si mindjer i pursora di ña fidju.
Ele é um profeta.	El i prufeta.
Aquela menina profetizou uma boa colheita.	Ki badjuda profetisa bon kebur.
Cavarei um poço com a profundidade que você quiser.	Na koba un fonti di fundura ki bu misti.
Esta valeta é profunda.	E baleta fundu.
As pessoas respeitam a proibição de comer carne de gado.	Djintis rispita mandjidura di kume karni di baka.
É proibido fumar no carro.	Tudjidu fuma na karu.
A lei proíbe açoitar a mulher.	Lei tudji suta mindjer.
Minha prole é grande.	Ña familia garandi.
Fiz a promessa na igreja.	N' fasi purmesa na igreja.
Não prometeram nos ajudar.	E ka purmiti djudanu.
Estou pronto para ir.	N' sta pruntu pa bai.
Tua pronúncia do inglês é boa.	Bu purnunsia di Inglis sabi.
O professor vai pronunciar a palavra.	Pursor na purnunsia palabra.
A propagação da doença é perigosa.	Divulgason di duensa pirigozu.
Meu pai tem uma grande propriedade.	Ña pape tene propriedadi garandi.
Eu sou o dono deste lugar.	Ami i dunu di es kau.
Tudo foi vendido pelo próprio dono.	Tudu bindidu pa propi dunu.
No futuro vou prosperar.	Na futuru na sedu riku.
Prossegue com teu estudo.	Pursigi bu studu.
Esta mulher é uma prostituta.	E mindjer i djaka.
Não temos proteção de ninguém.	No ka tene garda di ningin.
Protege tua cabeça.	Prutiji bu kabesa.
Um monte é uma mancha no terreno.	Un montaña i mantcha di terenu.
Passei por uma dura provação.	N' pasa pa un probason difisil.
Há muitos provérbios na África.	I ten ditu manga del na Afrika.
Temos três províncias em Guiné-Bissau.	No tene tris rijon na Gine-Bisau.
Não fizemos provisão dos alimentos para a época da seca.	No ka rakada kusa di kume pa tempu di seku.
Não aceito nenhum tipo de provocação.	N' ka ta seta nin tipu di provokason.
Para de provocar teu irmão.	Para provoka bu ermon.
O lápis está perto de ti.	Lapis sta pertu di bo.
A púbis dessa moça é grande.	Pintiñu di es badjuda garandi.
A virilha dele está coçando porque está suja.	Si koramentu na kosa pabia i susu.
Pudor demais mata.	Borgoña dimas ta mata.
Sapo pula.	Sapu ta djuguta.
Aquele cachorro tem muita pulga.	Ki katchur tene manga di pulga.
O pulmão dele está doente porque ele fuma.	Si bof-bof duenti purki i ta fuma.
O pulo do atleta foi muito alto.	Pulada di atleta sedu altu mal.
Meu coração não para de pulsar.	Ña korson ka para di bati.
A pulsera é linda.	Pulsera ta bonitu.
Ele quebrou o pulso no jogo.	I kebra tchabi di mon na djugu.
Não é bom pulverizar as plantas.	I ka bon bumba benenu na plantas.
Este punhal corta.	E puñal ta laña.
Ele caiu e quebrou o punho; então, não consegue abrir a mão.	I kai i kebra puñu, i ka ta konsigi abri mon.
Punição às vezes é bom para a criança.	Kastigu as bes bon pa mininu.
Esse homem foi punido.	Es omi kastigadu.
Se tu erras, o governo te pune.	Si bu yara, gubernu ta kastigau.
A pupila dele é grande.	Si garan di udju garandi.
A pureza dessa mulher é grande.	Puresa di es mindjer dimas.
É preciso purificar o corpo.	I pirsis laba kurpu.
Essa água é pura.	Es yagu puru.
Ele tem pus no pé.	I tene maldadi na pe.
Vem me ajudar a puxar água.	Bin djudan puxa yagu.
Ele ficou em quadragésimo lugar na corrida.	I fika na korenta lugar na kurida.
Esta moça tem o quadril largo.	E badjuda tene anka largu.
Qual casa que compraste?	Kal kasa ku bu kumpra?
Qualquer coisa que me dês vou tomar.	Kualker kusa ku bu dan na toma.
Quando que virás?	Kal ora ku bu na bin?
Quantas pessoas vieram?	Kantu djintis ku bin?
Nós somos quarenta na nossa turma.	Anos i korenta na no turma.
Não temos aula na quarta-feira.	No ka tene aula kuarta-fera.
Há quartel militar em Bissau.	I ten kortel militar na Bisau.
Fiquei em quarto lugar na corrida.	N' fika na kuartu lugar na kurida.
Esse é o quarto da minha mãe.	Es i kuartu di ña mame.
Dá-me quatro laranjas.	Dan kuatru larandja.
Há quatrocentos alunos guineenses na universidade.	I ten kuatrusentus alunus Ginensi na universidadi.
O que que ele quer?	Ke ki i misti?
A caneta dele está quebrada.	Si kaneta sta kebradu.
Se você quebrar este vidro, vai acabar se cortando.	Si bu kebra es bidru, bu na laña.
A queda de um velho é perigosa.	Keda di bedju pirigozu.
Queijo é gostoso com pão.	Keju ta sabi ku pon.
Senti uma queimação muito forte no estômago.	N' sinti un kemansa forti na stomagu.
O patriarca morreu queimado.	Omi garandi muri kemadu.
A queimadura dói.	Kemadura ta de.
Não queimes a criança.	Ka bu kema mininu.
Vou fazer uma queixa.	Na bai da kesa.
O namorado não parava de queixar-se das suas atitudes.	Rapas ka ta para di ta kesa di si atitudis.
Teu queixo é grande.	Bu kesada garandi.
Há um homem queixoso na sala.	I ten omi reklamadur na sala.
Com quem estás falando?	Kin ku bu na papia ku el?
Essa água está quente.	Es yagu kinti.
Não aguentei a quentura do fogo.	N' ka nguenta kentura di fugu.
Vou à tua casa amanhã, quero dizer, hoje.	Na bai bu kau amaña, n' misti fala, aos.
Quero comer peixe.	N' misti kume pis.
Quiabo é saboroso.	Kandja ta sabi.
O lugar está quieto demais.	Kau sta ketu dimas.
Na quietude da noite, não se escutava nada.	Na kalada di noti, bu ka ta obi nada.
Fez quinhentos anos que tomamos a independência.	I fasi kiñentus anus ku no toma indipendensia.
Ficou em quinquagésimo lugar na seleção para a bolsa.	I fika na sinkuenta lugar na seleson pa bolsa.
Vou te visitar na quinta-feira.	Na bai djubiu kinta-fera.
Teu quintal é grande.	Bu kintal garandi.
Meu irmão ficou em quinto lugar na seleção.	Ña ermon fika na kintu lugar na seleson.
Ela fez quinze anos.	I fasi kinzi anus.
A rã pula.	Sapu ta salta.
Essa árvore tem uma rachadura grande.	Es arvuri tene fenda garandi.
O meu pé rachou.	Ña pe ratcha.
A ráfia é uma palmeira decorativa.	Rafia i un palmera pa fadja kau.
Lá vem nossa rainha.	Ala no raiña na bin.
O raio cai na época de chuva.	Raiu ta kai na tempu di tchuba.
Para, estou com raiva.	Para, n' paña raiba.
Esta criança é raivosa.	E mininu raibus.
A raiz da árvore é comprida.	Rais di arvuri kumpridu.
O ralo da pia é pequeno.	Koba di pia pikininu.
Cuidado com o ramo.	Kuidadu ku ramu.
Para de ranger os dentes.	Para ñeme dinti.
Estás fazendo barulho com esse rangido de dente.	Bu na fasi barudju ku e madjudura di dinti.
Este rapaz é lindo.	E rapas bonitu.
Os velhos gostam de rapé.	Garandis ta gosta di po di tabaku.
A rapidez do corredor é muita.	Pruntasku di kuridur i dimas.
Foste rápido com a prova.	Bu rapidu ku prova.
A raposa é saborosa.	Katchur mangu ta sabi.
Tua calça está rasgada.	Bu kalsa sta rumpidu.
Não me rasgues a camisa.	Ka bu rasgan kamisa.
Este mar é raso.	E mar razu.
Raspei minha cabeça.	N' rapa ña kabesa.
O bebê da minha irmã já começou a rastejar.	Fidju di ña ermon kumsa rasta.
A polícia está te rastreando.	Pulisia na sigiu.
A polícia seguiu o rastro do ladrão.	Pulisia sigi rastu di ladron.
Há ratazana na floresta.	Ratu garandi ten na matu.
Rato come amendoim.	Ratu ta kume mankara.
Esse é um problema real.	Es i prublema rial.
Essa é a realidade do mundo.	Es i rialidadi di mundu.
Realmente, ele falou a verdade.	Rialmenti, i papia bardadi.
Não me rebaixes.	Ka bu riantan.
Temos um rebanho grande de carneiros.	No tene koral di karnel manga del.
Não quero me meter em rebuliço.	N' ka misti entra na mburta di konfuson.
Recebo o meu dinheiro todo mês.	N' ta risibi ña diñeru tudu mis.
Vai à recepção.	Bai na kau di atindimentu.
Será que recebeste o teu recibo?	Ke bu risibi bu risibu?
Esse é o recinto do médico.	Es i kau di mediku.
Minha mãe serviu a comida em um recipiente de barro.	Ña mame sirbi bianda na panela di lama.
O desejo de paz é recíproco.	Disedju di pas ta sirbi pa dus ladu.
Qual é a tua reclamação?	Kal ki bu reklamason?
Do que é que estás reclamando?	Ke ku bu na raklama?
Recolhe as tuas coisas.	Rukudji bu kusas.
Na hora em que trabalhas, encontras uma recompensa.	Ora ku bu tarbadja, bu ta tene rekumpensa.
Trabalha, vão te recompensar.	Tarbadja, e na rekumpesau.
O papel recortado estava em cima da mesa.	Papel kortadu staba riba di mesa.
Não te recostes à parede.	Ka bu ngosta na paredi.
Será que poderás recuperá-lo?	Ke bu pudi rukuperal?
Ele recusou o título de príncipe.	I rekusa titulu di prinsipi.
Rede é bom de deitar.	Redi sabi dita.
Segura a rédea.	Pega na korda di kabalu.
Não há redenção para aquelas pessoas más.	I ka ten salbason pa ki pekaduris mau.
Ele tentou redimir aquelas pessoas más.	I tenta salba ki pekaduris mau.
A bola é redonda.	Bola ta rodondu.
A cerca estava ao redor da casa.	Serku staba na roda di kasa.
Houve uma redução na importação.	I ten un riduson na importason.
Reduza o preço dos animais.	Ruduzi pres di limarias.
Refaça o teu trabalho.	Fasi bu tarbadju di novu.
Não gostei do que fizeram para o jantar.	N' ka gosta di ke ku e fasi pa sia.
Eles foram refrescar-se no rio.	E ba freska kurpu na riu.
O refrigerante é bebido na hora de comer.	Sumu ta bibidu ora di kume.
A minha mãe vive a regatear o preço das mercadorias na feira.	Ña mame punta-punta di pres di kusas na fera.
O Nordeste é a nossa região.	Nordesti i no rijon.
Esse é o pior regime.	Es i pior rijimi.
O trabalhador regozijou-se com o aumento de salário.	Tarbadjadur kontenta ku aumentu di diñeru.
Regra número um: respeita teu colega.	Regra numeru un rispita bu kumpañer.
Traz-me a régua.	Tisin regua.
Nosso rei não sai sempre.	No rei ka ta sai sempri.
Esse é o reinado de nosso bisavô.	Es i renansa di no tuturdona.
Era um pedido reiterativo, mas não houve resposta novamente.	I un pididu pa konfirma, ma e ka ruspundi mas.
A rejeição à política é grande.	Negason di politika garandi.
Rejeitei cumprimentá-lo.	N' nega falal manteña.
Os velhos querem rejuvenescer mais.	Garandis ta misti sedu nobu mas.
Estou em uma relação.	N' sta na un relason.
Estou em um relacionamento sério.	N' sta na relasionamentu seriu.
Estamos relacionando estudo com o futuro.	No na relasiona studu ku futuru.
O relâmpago assusta.	Rilampagu ta panta.
Está relampejando muito.	I na lampra tchiu.
Estamos fazendo o relatório.	No na fasi rilatoriu.
Estás fazendo relaxamento depois do trabalho.	Bu sta na fasi relaxamentu dipus di tarbadju.
Fica calma, relaxa do aborrecimento.	Fika kalma, diskuda di burisimentu.
Quase todas as pessoas têm sua religião.	Kuas tudu djintis tene se rilijon.
O relógio marca a hora.	Orlodju marka ora.
Remar no rio é cansativo.	Rema na riu kansadu.
O remédio cura a doença.	Mesiñu ta kura duensa.
Há remela no teu olho.	Ala remelga na bu udju.
Para de remendar as coisas que não prestam.	Para remenda kusas ku ka bali.
Ele fez um remendo na roupa e vestiu.	I fasi un menda na ropa i bisti.
O remo do barco é grande.	Remu di barku ta garandi.
Remove a sujeira daqui.	Tira susidadi li.
Ela remove qualquer feitiço.	I ta kaba ku kalker futiseria.
Faz a reparação da tua casa.	Fasi riparason di bu kasa.
Repara a tua escola.	Repara bu skola.
A parede da sala precisa de um reparo.	Paredi di sala prisisa di riparason.
A repetição da palavra é importante para aprender a língua.	Ripitison di palabra bon pa prindi lingu.
Repete o teu nome, por favor.	Ripiti bu nomi, di fabur.
É bom repousar o corpo.	I bon diskansa kurpu.
O professor repreendeu o aluno.	Pursor raprindi alunu.
Repreensão sem razão não é bom.	Raprindison sin razon ka sabi.
Sua reputação nunca foi boa.	Bu fama nunka ka odja diritu.
Ele tentou resgatar a mulher mas não houve tempo.	I tenta liberta mindjer ma i ka ten tempu ba dja.
O resgate do animal durou horas.	Libramentu di limaria dura oras.
Essa é uma residência de família.	Es i kau di mora di familia.
Eu sou residente nesse bairro.	Ami i abitanti des bairu.
Quero residir aqui.	N' misti mora li.
Não quero que você resmungue.	N' ka misti pa bu ba ta rasmunga.
É bom resolver o problema.	I bon risolvi prublema.
O juiz resolveu a disputa entre as duas mulheres.	Djuis safa disputa entri dus mindjeris.
Respeita os mais velhos.	Rispita djintis garandi.
É bom sempre ter respeito.	I bon sempri tene rispitu.
A respiração mostra que estamos vivendo.	Manera di da folgu mostra kuma no na vivi.
Respira depois da corrida.	Ba ta da folgu dipus di kurida.
Responde à pergunta.	Rispundi purgunta.
A professora está esperando uma resposta para a pergunta.	Pursora na pera un rasposta pa purgunta.
O rapaz acordou de ressaca depois da festa.	Rapas korda ku moku dipus di festa.
O resto da comida caiu da mesa.	Restu di bianda kai di mesa.
Retira a tua candidatura de novo.	Tira bu kandidatura di novu.
Retira-te daqui, por favor.	Ritira li,di fabur.
Essa é uma linha reta.	Es i liña retu.
Vamos retomar as aulas na semana que vem.	No na riba aula na simana ku na bin.
Vamos retornar das férias.	No na riba di ferias.
É bom assistir à reunião do trabalho.	I bon mati runion di tarbadju.
Vamos reunir os amigos.	No na runi amigus.
É bom fazer reverência aos mais velhos.	I bon fasi djintis garandi venerason.
Isso é reverso do que eu pensei.	Es i kontrariu di ki ku n' pensa.
Reverte teu plano.	Muda bu planu.
As mulheres gostam de revista.	Mindjeris ta gosta di revista.
É sempre bom reviver os tempos passados.	I bon sempri volta vivi tempus pasadu.
A revolta é perigosa.	Rabolta ta pirigozu.
Vou me revoltar contigo.	Na rabolta ku bo.
É bom rezar todo dia.	I bon raza tudu dia.
O padre é o rezador na minha aldeia.	Padri i rasadur na ña tabanka.
Não me interrompas, estou rezando para Deus.	Ka bu nturumpin, na rasa pa Deus.
Há muitos ribeiros no nosso mar.	Riusiñu tchiu na no mar.
Quero ser rico.	N' misti riku.
Esse professor é rigoroso.	Es pursor i rigurosu.
O rim me está doendo.	Rin na den.
O rio é bom para nadar.	Riu ta sabi nada.
Quero ter riqueza.	N' misti tene rikesa.
É bom rir com os amigos.	I bon ri ku amigus.
O sorriso de minha namorada é lindo.	Sorizu di ña badjuda ta bonitu.
A música tem um ritmo lindo.	Muzika ta tene ritimu bonitu.
É bom fazer um ritual para os nossos velhos.	I bon fasi sirmonia pa no garandis.
A rocha é dura.	Rotcha ta risu.
Essa é a roda do carro.	Es i roda di karu.
Traz aquele rodo.	Tisi ki po di djunda yagu.
Vamos para a rodovia do interior.	No bai pa kamiñu di intirior.
Vi um roedor correndo pela sala.	N' odja ruidur na kuri na sala.
O bicho roeu a roupa.	Bitchu ta rui ropa.
O móvel estava todo roído pelo cachorro.	Movel staba tudu ruidu pa katchur.
A pedra rolou na rua.	Pedra rola na rua.
Joguei a rolha da garrafa fora.	N' bota rodja di garafa fora.
Quero um rolo de pano.	N' misti un rolu di panu.
A corda rompeu.	Korda rumpi.
Traga-me aquela corda rompida.	Tisin ki korda rumpidu.
O meu irmão ronca.	Ña ermon ta ronka na sonu.
Para o ronco do meu pai.	Para ronku di ña pape.
O guarda fazia a ronda à noite.	Garda ta kumsa ronda di noti.
Gosto de rosa no meu jardim.	N' gosta di roza na ña djardin.
Dá-me a rosca.	Dan roska.
Aquele rosnado do cachorro me pertubou a noite inteira.	Kil ronku di katchur inkomodan noti tudu.
O cachorro estava a rosnar desde cedo.	Katchur staba na ronka desdi sedu.
Meu rosto está seco.	Ña rostu seku.
A Terra faz rotação.	Tera ta fasi rotason.
A rotunda separa duas ruas.	Rutunda sipara dus ruas.
Roubar coisas é crime.	Roba kusas i krimi.
O roubo é pecado.	Robu i pekadu.
Tenho uma roupa nova.	N' tene ropa nobu.
Gosto de vestido violeta.	N' gosta di bistidu di kor di violeta.
Essa é a nossa rua.	Es i no rua.
O rosto do velho tem ruga.	Rostu di garandi ta nornori.
Tenho medo do rugido do leão.	N' ta medi manera di rosna di lion.
O leão vai rugir muito alto.	Lion na girta ku forsa.
O ruído me incomoda à noite.	Ruidu ta inkomodan di noti.
É ruim faltar aula.	I ruñu falta aula.
A ruína do Império Romano ocorreu muitos séculos atrás.	Kaida di imperiu romanu sedu manga di sekulus tras.
Às vezes nem o bem consegue vencer a ruindade das pessoas.	As bes nin ben ka ta konsigi gaña ruñesa di djintis.
Houve uma ruptura de uma veia do braço e ele foi para o hospital.	I ten un siparason di veia di brasu i bai ospital.
Amanhã é sábado.	Amaña i sabadu.
Podes tomar banho com sabão.	Bu pudi laba ku sabon.
A esperteza do menino era boa.	Spertasku di mininu eraba bon.
Ouvir é sabedoria.	Obi i sabiduria.
Ele tem conhecimento de vida.	El tene kunsimentu di vida.
Sei a resposta.	N' sibi rasposta.
Meu amigo é um sábio.	Ña amigu i un sabiu.
Esta manga tem sabor diferente do da de ontem.	E mangu tene sabura diferenti di ki aonti.
A minha prima quis saborear todos os doces.	Ña prima misti sinti gustu di tudu dos.
Esta fruta é saborosa.	E fruta sabi.
O sabre corta.	Spada suma arku ta laña.
Bota o sabugo de milho no lixo.	Bota ñaña di midju na lixu.
Vamos sacar o dinheiro no banco.	No bai tira diñeru na banku.
Esta moça está saciada.	E badjuda fartu.
Esta vitória nos saciou.	E vitoria fartanu.
Traga-me o saco de batata.	Tisin saku di batata.
Sacrificamos animais.	No ta sakrifika limaria.
O sacrifício faz parte da vida.	Sakrifis fasi parti di bida.
Não sacudas a criança.	Ka bu sakudi mininu.
Estás satisfeito?	Ke bu kontenti?
Saia é para mulher.	Saia i pa mindjer.
Essa é a saída de emergência.	Es i saida di imerjensia.
Vamos sair de casa hoje.	No na sai di kasa aos.
O sal é colocado na comida.	Sal ta pudu na bianda.
Essa é a nossa sala de aula.	Es i no sala di aula.
Será que o teu salário é bom?	Ke bu salariu i bon?
Não gosto de comida salgada.	N' ka gosta di bianda salgadu.
Não salgues a comida.	Ka bu salga bianda.
A saliva matém a boca e os lábios úmidos.	Kuspiñu ta pui boka ku bis fika modjadu.
Salpiquei o peixe e o guardei numa tigela.	N' tchubiska pis n' rakada na tijela.
Para de saltar, vais cair.	Para salta, bu na bin kai.
Para de saltitar.	Para salta-salta.
Tenho medo de salto alto.	N' ta medi saltu altu.
É bom salvar a vida do teu companheiro.	I bon salba bida di bu kumpañer.
A professora usava sandália.	Pursora ta kalsaba sandalia.
Teu pé está sangrando.	Bu pe na sangra.
Os homens se juntaram para sangrar o gado do curral.	Omis djunta pa sangranta baka di koral.
Tenho medo de sangue.	N' ta medi sangi.
Há sanguessuga no rio.	Sambasuga ten na riu.
Quero uma sapatilha de balé.	N' misti sapatilia di badju.
Amanhã vou comprar um sapato novo.	Amaña na bai kumpra sapatu nobu.
O sapo pula.	Sapu ta salta.
Os bandidos saqueiam a cidade.	Bandidus ta furta na sidadi.
A sarna dói se molhar.	Sarna ta de si modja.
O resultado bom é uma satisfação.	Rizultadu bon i satisfason.
Satisfazemos a vontade do nosso pai.	No ta satisfazi vontadi di no pape.
Será que estás satisfeito hoje?	Ke bu kontenti aos?
Minha saudação a vós.	Ña manteña pa bos.
Tenho saudade de vós.	N' tene sodadi di bos.
É bom saudar as pessoas.	I bon ba ta fala djintis manteña.
Estás saudável.	Bu sta ku saudi.
Como está a tua saúde?	Kuma di bu saudi?
Esta savana é perigosa.	E lala pirigozu.
Se a vires, diz-lhe que quero falar com ela.	Si bu odjal, falal misti papia ku el.
Essa é a época da seca.	Es i tempu di seku.
Seca a roupa ao sol.	Seka ropa na sol.
Minhas roupas estão secas.	Ña ropa seku.
Há um século já que não chove naquele lugar.	Un sekulu dja ki i ka tchubi na kil kau.
A secura está matando.	Sekura ta mata.
O vestido dela é de seda.	Si bistidu i di seda.
A sede das Nações Unidas está em Nova Iorque.	Sedi di Nasons Unidas sta na Nova Iork.
Tenho sede de água.	N' tene sedi di yagu.
Estou muito sedento.	N' sta ku sedi dimas.
Estão nos seguindo.	E na siginu.
Amanhã é segunda-feira.	Amaña i sugunda-fera.
Eu sou o segundo na fila.	Ami i sugundu na bixa.
Segura o martelo direito.	Sugura martel diritu.
É bom ter seguro de vida.	I bon tene suguru di bida.
Somos seis irmãos.	Anos i seis ermons.
Nosso país tem seiscentos anos.	No pais tene seisentus anus.
A seiva está caindo da folha.	Liti di po na kai di fodja.
Cuidado com o vidro, lá à frente está um seixo.	Kuidadu ku bidru, ala kaskadju bu dianti.
Senta na sela do cavalo.	Sinta na sela di kabalu.
Ontem fomos selar o cavalo para ela.	Aonti no bai sela kabalu pa el.
Nossa seleção é forte.	No seleson i forti.
Seleciona tuas coisas.	Selesiona bu kusas.
Meu pai era um seleiro que fazia lindo trabalho em couro.	Ña pape seduba un kusidur i ta fasiba bon tarbadju ku kuru.
O selo é um documento.	Selu i dokumentu.
Não há pessoa selvagem.	Pekadur salbas ka ten.
Saí sem nada.	N' sai sin nada.
Esta festa está sem graça.	E festa ka sabi.
Nessa semana, as aulas vão começar.	Es sumana, aulas na kumsa.
Não há semeadura na seca.	Simintera ka ten na tempu di seku.
É bom semear plantas na época da chuva.	I bon sumia plantas na tempu di tchuba.
Eu e meu pai somos semelhantes.	Ami ku ña pape i simildjanti.
O sêmen faz o bebê nascer.	Kuadju ta fasi bebe nansi.
Essa é a nossa semente.	Es i no simenti.
Estou sempre pronto.	N' ta sta sempri prontu.
O cargo da empresa era sênior.	Kargu di impreza eraba garandi.
Fiquei sentado no chão.	N' fika sintadu na tchon.
Senta o menino na cadeira.	Sintanda mininu na kadera.
Já me sentei.	N' sinta dja.
Qual é a sentença do crime?	Kal ki djulgamentu di krimi?
Estou sentindo cheiro.	Na sinti tcheru.
Separação de casal não é bom.	Siparason di kazal ka bon.
Fizestes o trabalho separado.	Bo fasi tarbadju siparadu.
Quiseram nos separar mas não conseguiram.	E misti pa no kaba ma e ka konsigi.
Ele ficou em septuagésimo lugar na corrida.	I fika na setenta lugar na kurida.
Vamos assistir ao sepultamento no cemitério.	No na bai mati nteru na simiteriu.
Sepultamos as pessoas que morreram.	No supulta djintis ku muri.
Estão cavando uma sepultura.	E na koba supultura.
Quero ser um bom homem.	N' misti sedu un bon omi.
O ser vivo é mais importante que um defunto.	Bibu mas interesanti ki dufuntu.
Gosto da seriedade do teu trabalho.	N' gosta di seredadi di bu tarbadju.
A seringa dói.	Siringa ta de.
Ele é um homem sério.	El i omi seriu.
Tenho medo de serpente.	N' ta medi kobra.
Fomos caminhar na serra, não no rio.	No bai yanda na montaña, i ka na riu.
Minha serra de serrar madeira está amolada.	Ña sera di sera madera molado.
Serra este pau.	Sera e po.
Traga-me o serrote para serrar o pau.	Tisin seroti pa sera po.
Serve-me a comida.	Sirbin bianda.
Pensas que sou o teu servo.	Bu pensa ami i bu sirbidur.
A sessão da Assembleia Nacional Popular acabou.	Seson di Asembleia Nasional Popular kaba.
Meu pai tem sessenta anos.	Ña pape tene sesenta anus.
Somos sete.	Anos i seti.
O exército tinha apenas setecentos soldados.	Izersitu teneba apenas setisentus soldadus.
Meu aniversário é em setembro.	N' ta fasi anu na setembru.
Meu tio tem setenta anos.	Ña tiu tene setenta anus.
Fiquei em sétimo lugar na prova.	N' fika na setimu lugar na prova.
Esse é o seu irmão.	Es i si ermon.
Na sexta-feira vou à escola.	Sesta-fera na bai skola.
Essa criança ficou em sexto lugar.	Es mininu fika na sestu lugar.
Toco sicó na festa.	N' ta toka siko na festa.
A sífilis é uma doença transmitida sexualmente.	Siflis i un duensa ku ta kamba na ora di moka.
O significado da vida é comer.	Signifikadu di bida i kume.
Não significa nada.	I ka signifika nada.
Para de fazer barulho e silencia.	Para fasi barudju bu kala boka.
Gosto de ler no silêncio.	N' gosta di lei ku silensiu.
Toda hora ele fica silencioso.	Tudu ora i ta fika kaladu.
Ouvi barulho de cobra.	N' obi barudju di kobra.
Sim, passei de série.	Sin, n' pasa di klas.
A simpatia da professora encantou os alunos.	Simpatia di pursora nkanta alunus.
Aquele rapaz é simpático.	Ki rapas i simpatiku.
O sinal do carro quebrou.	Sinal di karu dana.
O sino da escola soou.	Sinu di skola somna.
Lugar de cultivar.	Kau di labra.
Só eu que vim.	Ami so ku bin.
A cadeira estava sob a mesa.	Kadera staba bas di mesa.
Sobra de comida no fim da festa.	Sobra bianda na fin di festa.
Minha sobrancelha está machucada.	Ña sobrinsela sta matchukadu.
Nada vai sobrar.	Nada n' ka na sobra.
Estamos falando sobre o trabalho.	No ta fala aserka di tarbadju.
Quero uma sobremesa para comer depois do almoço.	N' misti sobramesa pa kume dipus di djanta.
Quando soube do acidente do filho, a mãe teve um sobressalto.	Otcha i sibi di disastri di fidju, mame tene sustu.
Meu sobrinho foi à escola.	Ña subriñu bai skola.
Ele me socou na cabeça.	I sukian na kabesa.
É um soco grande no rosto.	I suku garandi na rostu.
Ele me socorreu da morte.	I sakuran di mortu.
O sofá está na sala da casa.	Sufa sta na sala di kasa.
Estou sofrendo uma dor.	Na sufri un dur.
O sofrimento não é bom.	Sufrimentu ka sabi.
Minha sogra é muito simpática.	Ña dona bon.
Sempre quis trabalhar com o meu sogro.	N' misti sempri tarbadja ku ña dona.
Quando o sol se puser, vamos passear.	Ora ku sol noti, no na bai pasia.
Aquele sapato deixou a sola do meu pé doendo.	Kil sapatu pui ña pata di pe na den.
O soldado está cansado de ficar em pé.	Soldadu sta kansadu di firma.
O meu filho aprendeu a soletrar o seu nome.	Ña fidju sibi seletra si nomi.
A solicitação do material chegou hoje.	Pididu di material tchiga aos.
Ele me solicitou ajuda.	I solicitan adjuda.
A pedra é sólida.	Pedra risu.
Esse solo não tem dono.	Es tchon ka tene dunu.
O solo é de nossos avós.	Tchon i di no donas.
Solta-me, eu vou-me embora.	Soltan, na ritira.
Esse homem é solteiro.	Es omi i solteru.
O prisioneiro deve estar solto.	Kalabuseru dibi di sta soltu.
A criança soluça por causa do choro.	Mininu salusa pabia di tchora.
O soluço cansa a criança.	Salus ta kansa mininu.
O som do carro faz muito barulho.	Son di karu ta somna tchiu.
A soma de dois números.	Soma di dus numerus.
Soma um número diferente.	Soma un numeru diferenti.
A sombra da galinha é curta.	Sombra di galiña i kurtu.
Minha casa é coberta com a sombra da árvore.	Ña kasa kubridu ku sombra di arvuri.
Tenho somente uma caneta.	N' tene somenti un kaneta.
Sonhei com o meu amigo.	N' suña ku ña amigu.
Meu sonho é longo.	Ña suñu kumpridu.
Estou com sono.	N' tene sonu.
A criança está sonolenta.	Mininu sta ku sonu.
Essa sopa não é saborosa.	Es sopa ka sabi.
Soprar o fogo com a boca.	Supra fugu ku boka.
O sopro da criança apagou a vela no seu bolo de aniversário.	Supru di mininu paga vela di buldu di si aniversariu.
O sorgo é usado para alimentar o gado.	Midju-kabalu ta uzadu pa almenta baka.
A criança está contente e rindo.	Mininu sta ku kontentamentu i na ñiñi.
Um sorriso como o seu jamais me deixa triste.	Un sorizu suma di bo n' ka ta fika tristi.
Tenho muita sorte.	N' tene manga di sorti.
O sótão da casa fica no último andar.	Ntudju di kasa ta fika na ultimu yanda.
Eu sozinho consegui fazer aquele trabalho.	Ami son n' konsigi fasi ki tarbadju.
A moça saiu com o seu irmão.	Badjuda sai ku si ermon.
O gato ficou suado.	Gatu fika kaluradu.
A correria daquele dia me fez suar demais.	Kurida di kil dia i fasin kalura dimas.
Teu perfume é muito suave.	Bu purfumu i suavi.
É preciso agir com suavidade com as pessoas.	I pirsis atua di manera santadu ku djintis.
Vamos suavizar a discussão.	No na fasi santadu diskutison.
A equipe de futebol subvinte chegou atrasada.	Ekipa di futubol sub-vinti tchiga atrazadu.
Essa subida é cansativa de andar.	Es subida kansadu yanda.
Vou subir as montanhas.	Na sibi montañas.
Vou me submeter apenas a minha mãe.	Na rianta kabesa so dianti di ña mame.
Eu planto apenas para minha subsistência.	Ami n' ta sumia so pa n' kume.
Subtrai um número.	Tira un numeru.
O ladrão subtraiu o móvel da sala.	Ladron roba movel di sala.
Nada aconteceu depois da discussão.	Nada ka susedi dipus di diskuson.
Ele era o terceiro na sucessão ao trono do rei.	El i turseru ardansa di rei.
